Configuration,Pressure,Theta1,Theta2,Theta3,Theta4,Theta5,Theta6
DS10DS10_0_1_VS_DS30DS30_6_1,380,-7.376831612,5.029996483,15.18338157,24.26476262,33.38911551,40.80891896
DS10DS10_0_1_VS_DS30DS30_6_1,384,-7.07602877,5.118375223,15.55580414,24.49394574,33.67559441,41.1097218
DS10DS10_0_1_VS_DS30DS30_6_1,388,-6.961437211,5.285249181,15.77066331,24.92366409,33.9907212,41.45349648
DS10DS10_0_1_VS_DS30DS30_6_1,392,-6.961437211,5.350852849,15.98552248,25.0239317,34.32017193,41.85456693
DS10DS10_0_1_VS_DS30DS30_6_1,396,-6.947113266,5.510135116,16.14308588,25.12419932,34.60665083,42.18401767
DS10DS10_0_1_VS_DS30DS30_6_1,400,-6.918465376,5.662971608,16.04281826,25.51094583,34.77853816,42.5134684
DS30DS30_6_1_VS_DS10DS30_3_1,0,-13.34991663,-8.264916195,-6.044704739,-4.738217726,-3.882934978,-3.260989291
DS30DS30_6_1_VS_DS10DS30_3_1,4,-13.34991663,-8.207620415,-5.829845565,-4.460906153,-3.495615508,-2.815801084
DS30DS30_6_1_VS_DS10DS30_3_1,8,-13.30694479,-8.064380966,-5.64936386,-4.140049788,-3.110874349,-2.349556678
DS30DS30_6_1_VS_DS10DS30_3_1,12,-13.24964901,-7.935465463,-5.385230316,-3.827931029,-2.705649948,-1.890044527
DS30DS30_6_1_VS_DS10DS30_3_1,16,-13.19235323,-7.792226014,-5.168222552,-3.52641199,-2.307014562,-1.434686319
DS30DS30_6_1_VS_DS10DS30_3_1,20,-13.1493814,-7.620338675,-4.97384662,-3.218160696,-1.896776781,-0.984484731
DS30DS30_6_1_VS_DS10DS30_3_1,24,-13.06343773,-7.505747116,-4.746668854,-2.904323064,-1.491409141,-0.527293059
DS30DS30_6_1_VS_DS10DS30_3_1,28,-12.92019828,-7.348183723,-4.534244751,-2.602087827,-1.070285161,-0.077635781
DS30DS30_6_1_VS_DS10DS30_3_1,32,-12.8629025,-7.233592164,-4.315518113,-2.289539349,-0.651066267,0.388107286
